"","Country","hc_start","hc_end","pp_start","pp_end","mp_start","mp_end","mp_pp_start","mp_pp_end","hc_pp_start","hc_pp_end","all_start","all_end"
"1","AU",1980 Q1,2019 Q1,1970 Q1,2018 Q3,1996 Q1,2017 Q2,1996 Q1,2017 Q2,1980 Q1,2018 Q3,1996 Q1,2017 Q2
"2","CA",1980 Q1,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1980 Q1,2018 Q3,1995 Q1,2017 Q1
"3","DK",1991 Q1,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2017 Q3,1995 Q1,2017 Q3,1991 Q1,2018 Q3,1995 Q1,2017 Q3
"4","IS",2007 Q3,2019 Q1,NA,NA,1997 Q1,2017 Q3,1997 Q1,2017 Q3,2007 Q3,2019 Q1,2007 Q3,2017 Q3
"5","JP",1999 Q2,2019 Q1,1955 Q1,2018 Q3,1995 Q1,2017 Q2,1995 Q1,2017 Q2,1999 Q2,2018 Q3,1999 Q2,2017 Q2
"6","NZ",1998 Q2,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2016 Q3,1995 Q1,2016 Q3,1998 Q2,2018 Q3,1998 Q2,2016 Q3
"7","NO",1993 Q1,2019 Q1,1970 Q1,2018 Q4,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1993 Q1,2018 Q4,1995 Q1,2017 Q1
"8","SE",1980 Q4,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1980 Q4,2018 Q3,1995 Q1,2016 Q4
"9","CH",1980 Q1,2019 Q1,1970 Q1,2018 Q4,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1980 Q1,2018 Q4,1995 Q1,2017 Q1
"10","GB",1980 Q1,2018 Q4,1968 Q2,2018 Q3,1995 Q1,2017 Q3,1995 Q1,2017 Q3,1980 Q1,2018 Q3,1995 Q1,2017 Q3
"11","US",1980 Q1,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2015 Q4,1995 Q1,2015 Q4,1980 Q1,2018 Q3,1995 Q1,2015 Q4
"12","AT",1999 Q1,2019 Q1,NA,NA,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1999 Q1,2019 Q1,1999 Q1,2017 Q1
"13","BE",1980 Q1,2019 Q2,1970 Q1,2018 Q3,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1980 Q1,2018 Q3,1995 Q1,2017 Q1
"14","FI",1989 Q2,2019 Q2,1970 Q1,2018 Q2,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1989 Q2,2018 Q2,1995 Q1,2016 Q4
"15","FR",2003 Q1,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2017 Q3,1995 Q1,2017 Q3,2003 Q1,2018 Q3,2003 Q1,2017 Q3
"16","DE",2003 Q1,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2017 Q2,1995 Q1,2017 Q2,2003 Q1,2018 Q3,2003 Q1,2017 Q2
"17","GR",1980 Q1,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1980 Q1,2019 Q1,1995 Q1,2016 Q4
"18","IE",1990 Q3,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1990 Q3,2018 Q3,1995 Q1,2017 Q1
"19","IT",1998 Q2,2019 Q1,1927 Q1,2018 Q3,2002 Q1,2015 Q4,2002 Q1,2015 Q4,1998 Q2,2018 Q3,2002 Q1,2015 Q4
"20","LU",1999 Q1,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1999 Q1,2019 Q1,1999 Q1,2016 Q4
"21","NL",1990 Q4,2019 Q1,1970 Q1,2018 Q3,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1990 Q4,2018 Q3,1995 Q1,2016 Q4
"22","PT",1980 Q1,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1980 Q1,2019 Q1,1995 Q1,2016 Q4
"23","ES",1989 Q1,2018 Q4,1971 Q1,2018 Q3,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1989 Q1,2018 Q3,1995 Q1,2016 Q4
"24","CN",1997 Q4,2018 Q4,NA,NA,1998 Q1,2017 Q3,1998 Q1,2017 Q3,1997 Q4,2018 Q4,1998 Q1,2017 Q3
"25","HK",1980 Q1,2019 Q1,1979 Q4,2018 Q4,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1980 Q1,2018 Q4,1995 Q1,2016 Q4
"26","IN",1998 Q4,2018 Q4,NA,NA,1998 Q1,2017 Q2,1998 Q1,2017 Q2,1998 Q4,2018 Q4,1998 Q4,2017 Q2
"27","ID",1996 Q1,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1996 Q1,2019 Q1,1996 Q1,2016 Q4
"28","KR",2005 Q4,2019 Q1,1975 Q1,2018 Q4,2002 Q1,2016 Q4,2002 Q1,2016 Q4,2005 Q4,2018 Q4,2005 Q4,2016 Q4
"29","MY",1996 Q4,2019 Q1,1988 Q1,2018 Q3,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1996 Q4,2018 Q3,1996 Q4,2016 Q4
"30","PH",2001 Q1,2018 Q4,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,2001 Q1,2018 Q4,2001 Q1,2016 Q4
"31","SG",1991 Q1,2019 Q1,NA,NA,1996 Q1,2017 Q1,1996 Q1,2017 Q1,1991 Q1,2019 Q1,1996 Q1,2017 Q1
"32","TH",1991 Q4,2019 Q1,1991 Q1,2018 Q4,1999 Q1,2017 Q2,1999 Q1,2017 Q2,1991 Q4,2018 Q4,1999 Q1,2017 Q2
"33","CO",2002 Q2,2019 Q2,NA,NA,1995 Q1,2017 Q1,1995 Q1,2017 Q1,2002 Q2,2019 Q2,2002 Q2,2017 Q1
"34","MX",1996 Q4,2019 Q1,NA,NA,1995 Q1,2017 Q2,1995 Q1,2017 Q2,1996 Q4,2019 Q1,1996 Q4,2017 Q2
"35","BG",1995 Q4,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1995 Q4,2019 Q1,1995 Q4,2016 Q4
"36","HR",2004 Q1,2019 Q1,NA,NA,1995 Q1,2017 Q1,1995 Q1,2017 Q1,2004 Q1,2019 Q1,2004 Q1,2017 Q1
"37","CZ",1997 Q1,2019 Q1,NA,NA,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1997 Q1,2019 Q1,1997 Q1,2017 Q1
"38","EE",1997 Q1,2019 Q1,NA,NA,1995 Q1,2016 Q2,1995 Q1,2016 Q2,1997 Q1,2019 Q1,1997 Q1,2016 Q2
"39","HU",2000 Q1,2019 Q2,NA,NA,1995 Q1,2017 Q2,1995 Q1,2017 Q2,2000 Q1,2019 Q2,2000 Q1,2017 Q2
"40","LV",2003 Q3,2019 Q1,NA,NA,1995 Q1,2017 Q1,1995 Q1,2017 Q1,2003 Q3,2019 Q1,2003 Q3,2017 Q1
"41","LT",2004 Q1,2019 Q1,NA,NA,1995 Q1,2017 Q2,1995 Q1,2017 Q2,2004 Q1,2019 Q1,2004 Q1,2017 Q2
"42","PL",1996 Q4,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,1996 Q4,2019 Q1,1996 Q4,2016 Q4
"43","RO",2007 Q1,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,2007 Q1,2019 Q1,2007 Q1,2016 Q4
"44","SK",2006 Q1,2019 Q1,NA,NA,1995 Q1,2017 Q2,1995 Q1,2017 Q2,2006 Q1,2019 Q1,2006 Q1,2017 Q2
"45","SI",2004 Q4,2019 Q1,NA,NA,1995 Q1,2016 Q4,1995 Q1,2016 Q4,2004 Q4,2019 Q1,2004 Q4,2016 Q4
"46","IL",1999 Q4,2018 Q4,NA,NA,1998 Q1,2017 Q2,1998 Q1,2017 Q2,1999 Q4,2018 Q4,1999 Q4,2017 Q2
"47","SA",2009 Q1,2018 Q4,NA,NA,1998 Q1,2016 Q4,1998 Q1,2016 Q4,2009 Q1,2018 Q4,2009 Q1,2016 Q4
"48","AE",2014 Q1,2019 Q1,NA,NA,2001 Q1,2016 Q4,2001 Q1,2016 Q4,2014 Q1,2019 Q1,2014 Q1,2016 Q4
"49","RU",2004 Q2,2019 Q1,NA,NA,1998 Q1,2017 Q2,1998 Q1,2017 Q2,2004 Q2,2019 Q1,2004 Q2,2017 Q2
"50","ZA",1980 Q1,2019 Q1,1966 Q1,2018 Q4,1996 Q1,2016 Q3,1996 Q1,2016 Q3,1980 Q1,2018 Q4,1996 Q1,2016 Q3
"51","TR",2005 Q4,2019 Q1,NA,NA,1996 Q1,2016 Q4,1996 Q1,2016 Q4,2005 Q4,2019 Q1,2005 Q4,2016 Q4
"52","AR",1989 Q4,2019 Q1,NA,NA,1995 Q1,2017 Q1,1995 Q1,2017 Q1,1989 Q4,2019 Q1,1995 Q1,2017 Q1
"53","BR",1994 Q3,2019 Q1,NA,NA,1997 Q1,2016 Q4,1997 Q1,2016 Q4,1994 Q3,2019 Q1,1997 Q1,2016 Q4
"54","CL",2001 Q1,2019 Q1,NA,NA,1995 Q1,2015 Q4,1995 Q1,2015 Q4,2001 Q1,2019 Q1,2001 Q1,2015 Q4
"55","PE",2001 Q1,2019 Q1,NA,NA,2000 Q1,2015 Q4,2000 Q1,2015 Q4,2001 Q1,2019 Q1,2001 Q1,2015 Q4
"56","RS",2008 Q3,2018 Q4,NA,NA,1999 Q1,2016 Q3,1999 Q1,2016 Q3,2008 Q3,2018 Q4,2008 Q3,2016 Q3
